,image,hash0,hash1,hash2,task
28,f55acc23574b93e49a38af37a72e0cbe_123b7f8104c0c7225c8c36602e36ba45_044974260425ddb481bf684e31acb299.png,f55acc23574b93e49a38af37a72e0cbe,123b7f8104c0c7225c8c36602e36ba45,044974260425ddb481bf684e31acb299,clip
29,279f37fe6a82b263f8226d8ed010e51b_b96bc09a70d981ac60ebc421ae7be999_a1454877c1e886e312a988e2d5c73ddc.png,279f37fe6a82b263f8226d8ed010e51b,b96bc09a70d981ac60ebc421ae7be999,a1454877c1e886e312a988e2d5c73ddc,clip
30,64f320059d005489d8327fc3bccdd5a6_ca91d21ae247809e4651c41a3ad8bb44_f391e2f638afc6efa38375a69a889656.png,64f320059d005489d8327fc3bccdd5a6,ca91d21ae247809e4651c41a3ad8bb44,f391e2f638afc6efa38375a69a889656,clip
31,a2e9d57666c4664e6d47b1bdd10d7c60_756e5f1413fae9f26662f41f7e710353_55c4dbaddba1ce08867fb4c1ed1296c5.png,a2e9d57666c4664e6d47b1bdd10d7c60,756e5f1413fae9f26662f41f7e710353,55c4dbaddba1ce08867fb4c1ed1296c5,clip
32,89023949e77d264480b8da1178f2c1c3_054bffa298c7bf11082a6113c5eb40ed_681be6a37ade72ecd9add1f5b351e473.png,89023949e77d264480b8da1178f2c1c3,054bffa298c7bf11082a6113c5eb40ed,681be6a37ade72ecd9add1f5b351e473,clip
33,a5b66a00779886d35a8a2d5c802d35aa_88135a0d3868babc1e89125c936e0dbb_358af7e7c91e5bef3c30030ef9d27148.png,a5b66a00779886d35a8a2d5c802d35aa,88135a0d3868babc1e89125c936e0dbb,358af7e7c91e5bef3c30030ef9d27148,clip
34,ecf7d041d899119d908f31b9bc9ae118_caec826bd04e370f691188a8814ce755_2901c11c3c1dbaeba4f6335df7f5fb89.png,ecf7d041d899119d908f31b9bc9ae118,caec826bd04e370f691188a8814ce755,2901c11c3c1dbaeba4f6335df7f5fb89,clip
35,a1aced8155375804a017c7a2bfaab5fd_fa26e2bbee5ce2ba9f7f36b88335d499_3dfe19fa14e93093c546b4724e88d2e4.png,a1aced8155375804a017c7a2bfaab5fd,fa26e2bbee5ce2ba9f7f36b88335d499,3dfe19fa14e93093c546b4724e88d2e4,clip
36,8c9fa1ea0e891c11312124163b59ad38_9ef005a71505454a7a27db38ce6ef045_708335b89881b87b8da4a74c684ed9e1.png,8c9fa1ea0e891c11312124163b59ad38,9ef005a71505454a7a27db38ce6ef045,708335b89881b87b8da4a74c684ed9e1,clip
37,968b827970fcd58382047ff8bb0a704f_a707420c47fcf83c17a428104a8c895b_10e9107c5fc0207a039e11aa6d836062.png,968b827970fcd58382047ff8bb0a704f,a707420c47fcf83c17a428104a8c895b,10e9107c5fc0207a039e11aa6d836062,clip
38,7bd1d5e73bcd7cb9fceb524e694172c0_beacbe30cc6a229336bc0b2998160209_6f88cb11b3a56dc12f9d65ca4ef650b7.png,7bd1d5e73bcd7cb9fceb524e694172c0,beacbe30cc6a229336bc0b2998160209,6f88cb11b3a56dc12f9d65ca4ef650b7,clip
39,cafd7c51360eab658a7b4beef3039052_4e57251b50d8e3ca693bd4ff98aa5f36_675b6c5eb894ffdbeb1bab9a7fb03e64.png,cafd7c51360eab658a7b4beef3039052,4e57251b50d8e3ca693bd4ff98aa5f36,675b6c5eb894ffdbeb1bab9a7fb03e64,clip
40,40563b8e4714176b8f5c822ba53d2521_d9465287d02962b2ab9a0b69ea463896_d178fae15eb2e9b880f6d30783adc1af.png,40563b8e4714176b8f5c822ba53d2521,d9465287d02962b2ab9a0b69ea463896,d178fae15eb2e9b880f6d30783adc1af,clip
41,39b4134b8e46a54792b875dfb97df2e0_03d52ea3517126c5ee728d59eb1dbbe5_eb3d68d35c1e6824a11f1bee34fb7a5a.png,39b4134b8e46a54792b875dfb97df2e0,03d52ea3517126c5ee728d59eb1dbbe5,eb3d68d35c1e6824a11f1bee34fb7a5a,clip
42,8f760cb4fd4614c4d44f14f65c19cfcf_541c7b3a0406610ceb86cecafc059003_48f333e7b6041cb59c76c55ee9d61e46.png,8f760cb4fd4614c4d44f14f65c19cfcf,541c7b3a0406610ceb86cecafc059003,48f333e7b6041cb59c76c55ee9d61e46,clip
43,e705f56a33e05555d3d51ad5c945261e_21d1c6f699b969a0d004226c30e345fd_0339c33ea65cbfc5c63399d4a0005ffb.png,e705f56a33e05555d3d51ad5c945261e,21d1c6f699b969a0d004226c30e345fd,0339c33ea65cbfc5c63399d4a0005ffb,clip
44,058ae613639e4b386c6bc4d05d774e2f_8fc791468c324f5e76b6161d6a6f0057_d4bda57a37c122bde573f7bda052358a.png,058ae613639e4b386c6bc4d05d774e2f,8fc791468c324f5e76b6161d6a6f0057,d4bda57a37c122bde573f7bda052358a,clip
45,7b14ee5f964a5fe22f6af81706a16f9a_c0e01874ce1b87750c128fbff0ce7e2a_df1a93d3aeccfe026f569d04d8351801.png,7b14ee5f964a5fe22f6af81706a16f9a,c0e01874ce1b87750c128fbff0ce7e2a,df1a93d3aeccfe026f569d04d8351801,clip
46,3a2bc2254196e4de63469d5878b492bd_55c4dbaddba1ce08867fb4c1ed1296c5_393bf330957c04011848a3bc22fad950.png,3a2bc2254196e4de63469d5878b492bd,55c4dbaddba1ce08867fb4c1ed1296c5,393bf330957c04011848a3bc22fad950,clip
47,7e55dc2849bb81b84e6d657b6696221f_c476f696a2eae220e4bf48e026c4b27e_835e7a84fe5826d18d93d0d632a9c887.png,7e55dc2849bb81b84e6d657b6696221f,c476f696a2eae220e4bf48e026c4b27e,835e7a84fe5826d18d93d0d632a9c887,clip
48,887682880d4916e75ebcd818a3812522_bc21a94432f4d9b1e5c054b0ba1db03f_f292078f66bc2d16aaf79222d86a1c13.png,887682880d4916e75ebcd818a3812522,bc21a94432f4d9b1e5c054b0ba1db03f,f292078f66bc2d16aaf79222d86a1c13,clip
49,3de2136c5bc5b920e061ae97d6029940_c8e822283bc3194bc15c5ccf2accee33_eb4922804b211ce55be7123b3c30b9b3.png,3de2136c5bc5b920e061ae97d6029940,c8e822283bc3194bc15c5ccf2accee33,eb4922804b211ce55be7123b3c30b9b3,clip
50,a48c65133a33443ce1b7a2e4d584ec0d_c502ac03a5c527c50ce322cf2094b9c7_abe16d7a055c874a66a8f5defcf29ad1.png,a48c65133a33443ce1b7a2e4d584ec0d,c502ac03a5c527c50ce322cf2094b9c7,abe16d7a055c874a66a8f5defcf29ad1,clip
51,39000ca0adedd482867635a9210648f1_b2e93463357d7b8c7f10584014d26ebf_5fe57204ebe41a0d8e7f4109eeb4977c.png,39000ca0adedd482867635a9210648f1,b2e93463357d7b8c7f10584014d26ebf,5fe57204ebe41a0d8e7f4109eeb4977c,clip
52,ed1cb7cf65df465133ad469de6a8c151_d1dbc4a1f080b85d4d3272d1038ddb25_96cebe206cbeced33c675ffa963bf573.png,ed1cb7cf65df465133ad469de6a8c151,d1dbc4a1f080b85d4d3272d1038ddb25,96cebe206cbeced33c675ffa963bf573,clip
53,11b21290c170a08d9b5cf7bb40020607_1a7cadff6574ddec7a918533842f4b36_5dbb676992e70c9d10cbd8cde2858781.png,11b21290c170a08d9b5cf7bb40020607,1a7cadff6574ddec7a918533842f4b36,5dbb676992e70c9d10cbd8cde2858781,clip
54,b3762da8b6404a87dfa4532a61f35ef9_23fc315f8e3030c2b2d57a2f5a6471a0_b033dd8fff367e1e0764dd6811ffcd4b.png,b3762da8b6404a87dfa4532a61f35ef9,23fc315f8e3030c2b2d57a2f5a6471a0,b033dd8fff367e1e0764dd6811ffcd4b,clip
55,2394e627a40686e7f2049e79cb861840_b0db671fd4213241747ac162f3b5866e_c0c3d1c0fd5139309d58124426c4f0f8.png,2394e627a40686e7f2049e79cb861840,b0db671fd4213241747ac162f3b5866e,c0c3d1c0fd5139309d58124426c4f0f8,clip
56,402e12c800ef9c82e7c41275eb26c3fc_3f5d99fae519f80726b59a87b508088f_2e029888a57d1758db7c49f67c2ffb64.png,402e12c800ef9c82e7c41275eb26c3fc,3f5d99fae519f80726b59a87b508088f,2e029888a57d1758db7c49f67c2ffb64,clip
57,2394e627a40686e7f2049e79cb861840_cb81e72d8ddbf65667b13caef39248b6_26b032aa04966341d5c68e5f0b919675.png,2394e627a40686e7f2049e79cb861840,cb81e72d8ddbf65667b13caef39248b6,26b032aa04966341d5c68e5f0b919675,clip
58,a5a5351233cedb5b15dcf3aac348d07d_d6369320dd69c773ea8549abaa9a0d6a_8d3294b35358c8e0b8d5999cbb8ca8de.png,a5a5351233cedb5b15dcf3aac348d07d,d6369320dd69c773ea8549abaa9a0d6a,8d3294b35358c8e0b8d5999cbb8ca8de,clip
59,c90fe713fbd3f3140645a64f3c92a40d_5b8954ec494022afb6ee7da7ba4d3ab4_cfb96b9bafc843240d16d69c870670b2.png,c90fe713fbd3f3140645a64f3c92a40d,5b8954ec494022afb6ee7da7ba4d3ab4,cfb96b9bafc843240d16d69c870670b2,clip
60,9b632a4c23173d6ede8cbb483ab200f5_7b00be908634ecd2c3abb247e518b6eb_15fd74056c3c358497c5b663ed180cf3.png,9b632a4c23173d6ede8cbb483ab200f5,7b00be908634ecd2c3abb247e518b6eb,15fd74056c3c358497c5b663ed180cf3,clip
61,6ab8656c41e50037cb95d8e62fad6f65_aaa10b40995bdb4e64c7d0fba16b6cdb_f543b56cd57ede0143b6ea21f59ee24a.png,6ab8656c41e50037cb95d8e62fad6f65,aaa10b40995bdb4e64c7d0fba16b6cdb,f543b56cd57ede0143b6ea21f59ee24a,clip
62,3de2136c5bc5b920e061ae97d6029940_627be49592ae209f0ee1b961456dd449_eb4922804b211ce55be7123b3c30b9b3.png,3de2136c5bc5b920e061ae97d6029940,627be49592ae209f0ee1b961456dd449,eb4922804b211ce55be7123b3c30b9b3,clip
63,a5a5351233cedb5b15dcf3aac348d07d_8d3294b35358c8e0b8d5999cbb8ca8de_427e186db353111086095a0058cda9cb.png,a5a5351233cedb5b15dcf3aac348d07d,8d3294b35358c8e0b8d5999cbb8ca8de,427e186db353111086095a0058cda9cb,clip
64,4c769de705e645883549683b534ee552_75a366e1980d8ab2fcbb053da9d35c3e_a17c7a57b8072bf3f04526a98a15b235.png,4c769de705e645883549683b534ee552,75a366e1980d8ab2fcbb053da9d35c3e,a17c7a57b8072bf3f04526a98a15b235,clip
65,a8f44aa8e38efdb315d81eab6d2025fc_408671c85b4e2e5663430ca5bebd96a5_eadda663ac904610031dfbf56417c0bd.png,a8f44aa8e38efdb315d81eab6d2025fc,408671c85b4e2e5663430ca5bebd96a5,eadda663ac904610031dfbf56417c0bd,clip
